"128m"," ParallelOld"
,
"1 thread fixed object size","3.631463"
"n threads fixed object size","1.973957"
"1 thread random object size","0.140692"
"n threads random object size","23.096058"
"128m"," CMS"
,
"1 thread fixed object size","1.418033"
"n threads fixed object size","1.321388"
"1 thread random object size","0.198422"
"n threads random object size","1.522803"
"128m"," G1"
,
"1 thread fixed object size","1.430006"
"n threads fixed object size","1.477046"
"1 thread random object size","0.171481"
"n threads random object size","12.170022"
"512m"," ParallelOld"
,
"1 thread fixed object size","3.096067"
"n threads fixed object size","1.618592"
"1 thread random object size","10.102842"
"n threads random object size","2.22797"
"512m"," CMS"
,
"1 thread fixed object size","1.427013"
"n threads fixed object size","2.163398"
"1 thread random object size","0.254442"
"n threads random object size","4.811305"
"512m"," G1"
,
"1 thread fixed object size","1.485171"
"n threads fixed object size","6.732234"
"1 thread random object size","0.231777"
"n threads random object size","6.5197"
"1g"," ParallelOld"
,
"1 thread fixed object size","1.434283"
"n threads fixed object size","1.678889"
"1 thread random object size","0.218093"
"n threads random object size","3.363765"
"1g"," CMS"
,
"1 thread fixed object size","1.542046"
"n threads fixed object size","1.893134"
"1 thread random object size","0.177468"
"n threads random object size","2.186917"
"1g"," G1"
,
"1 thread fixed object size","1.533922"
"n threads fixed object size","3.441167"
"1 thread random object size","0.330561"
"n threads random object size","2.275011"
